ALGORITHM,PARAM,TIMEEXEC,NCLUSTERS,NCLUSTERS_PREDEF,FILE_OUTPUT,Silhouette_euclidean
DBSCAN,eps=9.0001 min_samples=50,0:00:18.439367,2,NO,DIR: DBSCAN__min_samples50,0.23914200932637564
DBSCAN,eps=9.2501 min_samples=50,0:00:19.886623,2,NO,DIR: DBSCAN__min_samples50,0.25906946577522666
DBSCAN,eps=9.5001 min_samples=50,0:00:21.363237,2,NO,DIR: DBSCAN__min_samples50,0.2748275700141715
DBSCAN,eps=9.7501 min_samples=50,0:00:22.870078,2,NO,DIR: DBSCAN__min_samples50,0.28598796808301574
DBSCAN,eps=10.0001 min_samples=50,0:00:24.366544,2,NO,DIR: DBSCAN__min_samples50,0.3014612898196188
DBSCAN,eps=10.2501 min_samples=50,0:00:25.878675,2,NO,DIR: DBSCAN__min_samples50,0.31190573956924944
DBSCAN,eps=10.5001 min_samples=50,0:00:27.424009,2,NO,DIR: DBSCAN__min_samples50,0.32588958137392704
DBSCAN,eps=10.7501 min_samples=50,0:00:28.985777,2,NO,DIR: DBSCAN__min_samples50,0.33761443029449134
DBSCAN,eps=11.0001 min_samples=50,0:00:30.559017,2,NO,DIR: DBSCAN__min_samples50,0.3566170742556888
DBSCAN,eps=11.2501 min_samples=50,0:00:32.164832,2,NO,DIR: DBSCAN__min_samples50,0.36845654475328715
DBSCAN,eps=11.5001 min_samples=50,0:00:33.744614,2,NO,DIR: DBSCAN__min_samples50,0.3824611205037611
DBSCAN,eps=11.7501 min_samples=50,0:00:35.359838,2,NO,DIR: DBSCAN__min_samples50,0.39308560578567386
DBSCAN,eps=12.0001 min_samples=50,0:00:36.989582,2,NO,DIR: DBSCAN__min_samples50,0.40227260966761763
DBSCAN,eps=12.2501 min_samples=50,0:00:38.620990,2,NO,DIR: DBSCAN__min_samples50,0.4086839688160796
DBSCAN,eps=12.5001 min_samples=50,0:00:40.272126,2,NO,DIR: DBSCAN__min_samples50,0.42138277659206064
DBSCAN,eps=12.7501 min_samples=50,0:00:41.949876,2,NO,DIR: DBSCAN__min_samples50,0.43035388780109396
DBSCAN,eps=13.0001 min_samples=50,0:00:43.602208,2,NO,DIR: DBSCAN__min_samples50,0.43516236666914215
DBSCAN,eps=13.2501 min_samples=50,0:00:45.263242,2,NO,DIR: DBSCAN__min_samples50,0.43911397936371893
DBSCAN,eps=13.5001 min_samples=50,0:00:46.947175,2,NO,DIR: DBSCAN__min_samples50,0.4449467660208126
DBSCAN,eps=13.7501 min_samples=50,0:00:48.633677,2,NO,DIR: DBSCAN__min_samples50,0.44891071101504654
DBSCAN,eps=14.0001 min_samples=50,0:00:50.344994,2,NO,DIR: DBSCAN__min_samples50,0.4556622664501396
DBSCAN,eps=14.2501 min_samples=50,0:00:52.087793,2,NO,DIR: DBSCAN__min_samples50,0.461468808726969
DBSCAN,eps=14.5001 min_samples=50,0:00:53.824651,2,NO,DIR: DBSCAN__min_samples50,0.46146902138321777
DBSCAN,eps=14.7501 min_samples=50,0:00:55.577110,2,NO,DIR: DBSCAN__min_samples50,0.46277462249853873
DBSCAN,eps=15.0001 min_samples=50,0:00:57.354327,2,NO,DIR: DBSCAN__min_samples50,0.4667046509427141
DBSCAN,eps=15.2501 min_samples=50,0:00:59.709380,2,NO,DIR: DBSCAN__min_samples50,0.47149996867463095
DBSCAN,eps=15.5001 min_samples=50,0:01:02.057205,2,NO,DIR: DBSCAN__min_samples50,0.47501416669972113
DBSCAN,eps=15.7501 min_samples=50,0:01:03.881896,2,NO,DIR: DBSCAN__min_samples50,0.4707964605161406
DBSCAN,eps=16.0001 min_samples=50,0:01:05.708039,2,NO,DIR: DBSCAN__min_samples50,0.4707964855817058
DBSCAN,eps=16.2501 min_samples=50,0:01:07.863712,2,NO,DIR: DBSCAN__min_samples50,0.4707964855817058
DBSCAN,eps=16.5001 min_samples=50,0:01:11.260568,2,NO,DIR: DBSCAN__min_samples50,0.473739914373396
DBSCAN,eps=16.7501 min_samples=50,0:01:13.918516,2,NO,DIR: DBSCAN__min_samples50,0.473739975476414
DBSCAN,eps=17.0001 min_samples=50,0:01:15.819006,2,NO,DIR: DBSCAN__min_samples50,0.4876832509562551
